n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
235794888,-7.649202517,52.37198129,substation,110000,50,Anner 110kV Substation,EirGrid,
515103979,-8.305618699,51.83018768,substation,110000,50,110kV Substation,EirGrid,
197846408,-8.037798336,53.27108707,substation,220000,,Shannonbridge 220/110kV,,
183986059,-8.104202335,54.48752015,substation,110000,50,Cliff 110kV Substation,EirGrid,
42737549,-7.124947843,52.2633035,substation,110000,,Waterford,EirGrid,
374323603,-7.12466413,52.2709491,substation,110000,,Waterford Newrath 110kV Substation,EirGrid,
201204151,-8.34016587,53.16151685,substation,110000,50,Carhoon 110kV Substation,EirGrid,
186889661,-8.90843324,52.03846725,substation,110000,50,Boggeragh 110kV Substation,EirGrid,
448710346,-6.417145138,53.28295291,substation,110000,50,Fortunestown 110kV Substation,EirGrid,
201187920,-7.368384795,55.13135462,substation,110000,,Sorne Hill 110kV Substation,EirGrid,
402783212,-7.247587503,55.04255204,substation,275000,50,Coolkeeragh 275kV Substation,NIE Networks,
516651650,-9.396376717,52.58018536,substation,220000,50,Kilpaddoge 220kV Substation,EirGrid,
201581579,-9.423064158,52.60820897,plant,0,,Moneypoint Power Station,ESB Generation and Wholesale Markets,
254158424,-6.569676437,53.47471074,substation,400000,50,Woodland 400kV Transmission Substation,EirGrid,
255668124,-6.21247695,53.25021792,substation,220000,50,Stepaside 220kV Substation,EirGrid,
88144450,-6.688051063,53.15439309,substation,400000,50,Dunstown 400kV Substation,EirGrid,
266025855,-6.406139358,53.04393605,substation,220000,50,Turlough Hill,EirGrid,
207331199,-9.253379243,52.6394261,substation,220000,50,Prospect 220kV Substation,EirGrid,
179121616,-8.268877561,53.13429997,substation,400000,50,Oldstreet Substation,EirGrid,
194614470,-8.382687408,53.16716405,substation,220000,50,Tynagh 220kV Substation,EirGrid,
185693432,-6.537495889,52.57915963,substation,220000,50,Lodgewood 220kV Substation,EirGrid,
288283900,-6.396474086,53.03297863,substation,220000,50,Turlough Hill Substation,EirGrid,
179131619,-8.382453124,53.16642349,plant,0,,Tynagh Energy Power Station,Tynagh Energy Limited,
207728854,-9.333644179,52.59842168,substation,220000,50,Lakyle North,EirGrid,
96278380,-6.991710836,52.28158255,substation,220000,,Great Island 220kV Substation,,
104388599,-8.227231528,51.83567297,substation,220000,50,Aghada 220kV Substation,EirGrid,
361261945,-8.249636185,51.8150801,substation,220000,50,Glanagow Substation,EirGrid,
137050528,-5.784055444,54.84519711,substation,275000,50,Ballylumford 275kV Substation,NIE Networks,
39681973,-5.784299795,54.84475153,plant,0,,Ballylumford Power Station,AES,
166764802,-6.027411296,54.57472273,substation,275000,50,Hannahstown 275kV Substation,NIE Networks,
148266260,-5.878224132,54.56266405,substation,275000,50,Castlereagh 275kV Substation,NIE Networks,
137050527,-5.770468952,54.8432015,substation,275000,50,Ballycronan More HVDC Static Inverter Plant,Mutual Energy,
230134599,-6.615797015,54.73025042,substation,275000,50,Magherafelt 275kV Substation,NIE Networks,
227767022,-6.681676221,54.51194014,substation,275000,50,Coalisland 275kV substation,NIE Networks,
39951424,-5.764869981,54.72662965,plant,0,,Kilroot Power Station,AES Corporation,
339008021,-5.76792313,54.72709864,substation,275000,50,Kilroot 275kV Substation,NIE Networks,
260836695,-6.56754855,53.47121682,substation,400000,50,Woodland 400kV Conversion Station,EirGrid,
